UserID,Gender,AgeGroup,FamilySubscription,MonthsSubscribed,StreamingQuality,CustomerSupportRating,BillingCycle,MonthlyPlanPrice,CancelledSubscription,AvgWatchTimePerWeek,PreferredGenre,AppRating
2954-PIBKO,0,1,1,69,1,5,0,64.15,0,4,2,4.2
8012-SOUDQ,0,0,0,43,0,2,1,90.25,0,9,0,2.1
9420-LOJKX,0,1,0,15,0,1,1,99.1,1,12,0,4.5
6575-SUVOI,0,0,1,25,1,4,1,69.5,0,22,0,1.2
7495-OOKFY,0,0,1,8,0,1,1,80.65,1,9,2,4.8
4667-QONEA,0,0,1,60,1,4,2,74.85,0,26,0,3.2
1658-BYGOY,1,0,0,18,0,1,1,95.45,1,18,1,3.6
8769-KKTPH,0,1,1,63,0,1,2,99.65,0,7,0,2.5
5067-XJQFU,1,0,1,66,0,4,2,108.45,0,30,4,4.1
3957-SQXML,0,1,1,34,2,0,0,24.95,0,14,0,1.7
5954-BDFSG,0,1,0,72,0,4,0,107.5,0,19,0,1.2
0434-CSFON,0,1,1,47,0,3,1,100.5,0,18,0,2.6
1215-FIGMP,1,1,0,60,0,2,1,89.9,0,22,0,4.4
0526-SXDJP,1,1,1,72,1,3,0,42.1,0,28,4,4.0
0557-ASKVU,0,1,1,18,1,4,2,54.4,0,18,3,3.1
5698-BQJOH,0,1,0,9,0,3,1,94.4,1,21,0,3.3
5122-CYFXA,0,1,0,3,1,5,1,75.3,0,28,1,1.5
8627-ZYGSZ,1,1,1,47,0,3,2,78.9,0,17,4,4.4
3410-YOQBQ,0,1,0,31,1,4,0,79.2,0,14,3,4.1
3170-NMYVV,0,1,1,50,2,0,0,20.15,0,23,0,3.6
7410-OIEDU,1,1,0,10,0,1,1,79.85,0,12,3,2.9
2273-QCKXA,1,1,0,1,1,5,1,49.05,0,28,1,4.9
0731-EBJQB,0,1,1,52,2,0,2,20.4,0,24,4,4.5
1891-QRQSA,1,0,1,64,0,4,0,111.6,0,4,4,3.6
8028-PNXHQ,1,1,1,62,2,0,0,24.25,0,9,3,2.5
5630-AHZIL,0,1,0,3,1,4,1,64.5,0,15,0,3.5
2673-CXQEU,0,0,0,56,0,1,2,110.5,0,5,2,3.3
6416-JNVRK,0,1,0,46,1,3,2,55.65,0,17,4,2.6
5590-ZSKRV,0,1,1,8,1,2,1,54.65,0,3,2,2.2
0191-ZHSKZ,1,0,0,30,1,3,1,74.75,0,28,4,2.6
3887-PBQAO,0,1,1,45,2,0,2,25.9,0,5,0,3.3
5919-TMRGD,0,1,0,1,0,1,1,79.35,1,27,0,2.7
8108-UXRQN,0,1,1,11,1,3,1,50.55,0,12,4,2.1
9191-MYQKX,0,1,1,7,0,2,1,75.15,1,29,3,4.0
9919-YLNNG,0,1,0,42,0,5,1,103.8,0,29,0,3.1
0318-ZOPWS,0,1,1,49,2,0,0,20.15,0,17,0,1.3
4445-ZJNMU,1,1,0,9,0,3,1,99.3,0,24,1,2.5
4808-YNLEU,0,1,1,35,1,1,2,62.15,0,29,0,4.5
1862-QRWPE,0,1,1,48,2,0,0,20.65,0,8,1,4.0
2796-NNUFI,0,1,1,46,2,0,0,19.95,0,22,0,2.3
3016-KSVCP,1,1,1,29,1,1,1,33.75,0,17,0,4.8
4767-HZZHQ,1,1,1,30,0,1,1,82.05,0,26,3,1.3
2424-WVHPL,1,0,0,1,0,5,1,74.7,0,23,3,4.8
7233-PAHHL,1,1,1,66,1,5,0,84.0,0,9,0,2.0
6067-NGCEU,0,1,0,65,0,2,1,111.05,0,27,4,1.0
9848-JQJTX,1,1,0,72,0,3,0,100.9,0,23,4,2.7
8637-XJIVR,0,1,0,12,0,1,1,78.95,1,29,0,2.4
9803-FTJCG,1,1,1,71,1,5,2,66.85,0,7,4,3.2
0278-YXOOG,1,1,0,5,2,0,1,21.05,1,6,0,4.2
3212-KXOCR,1,1,0,52,2,0,0,21.0,0,24,3,4.4
4598-XLKNJ,0,0,1,25,0,3,1,98.5,1,20,2,2.6
6380-ARCEH,1,1,0,1,2,0,1,20.2,0,5,1,2.7
3679-XASPY,0,1,1,1,2,0,1,19.45,0,19,4,1.6
7123-WQUHX,1,1,0,38,0,5,2,95.0,0,20,4,1.2
5386-THSLQ,0,0,1,66,1,1,2,45.55,0,20,3,3.6
3192-NQECA,1,1,1,68,0,5,0,110.0,1,26,4,1.3
6180-YBIQI,1,1,0,5,1,2,1,24.3,0,26,0,3.9
6728-DKUCO,0,1,1,72,0,3,2,104.15,0,4,0,3.2
9750-BOOHV,0,1,0,32,1,2,2,30.15,0,15,2,1.8
8597-CWYHH,1,1,0,43,0,1,2,94.35,0,24,2,3.2
2848-YXSMW,1,1,1,72,2,0,0,19.4,0,17,2,1.7
0486-HECZI,1,1,1,55,0,3,1,96.75,1,7,0,2.8
4549-ZDQYY,0,1,0,52,1,4,2,57.95,0,5,2,4.2
5712-AHQNN,0,1,0,43,0,1,1,91.65,0,7,2,2.8
4846-WHAFZ,0,0,1,37,0,2,1,76.5,1,7,0,1.6
5256-SKJGO,0,1,1,64,1,4,0,54.6,0,7,3,3.9
3071-VBYPO,1,1,1,3,0,2,1,89.85,0,5,4,1.7
9560-BBZXK,0,1,0,36,1,1,0,31.05,0,5,1,4.0
5299-RULOA,0,1,1,10,0,2,1,100.25,1,22,0,2.9
8402-OOOHJ,0,1,0,41,2,0,0,20.65,0,25,0,2.8
9445-ZUEQE,1,1,1,27,0,4,1,85.2,0,30,1,4.4
1091-SOZGA,0,1,1,56,0,1,2,99.8,0,30,1,3.8
2928-HLDBA,0,1,0,6,2,0,1,20.7,0,30,2,1.1
0404-SWRVG,1,1,0,3,0,2,1,74.4,1,20,1,2.2
6497-TILVL,0,1,1,7,1,3,1,50.7,0,28,4,4.5
7219-TLZHO,0,1,1,4,2,0,1,20.85,0,22,4,1.1
4622-YNKIJ,1,1,0,33,0,5,0,88.95,0,6,4,3.2
4412-YLTKF,0,0,0,27,0,3,1,78.05,1,3,4,3.9
6734-PSBAW,1,1,1,72,2,0,0,23.55,0,28,4,3.5
3930-ZGWVE,1,1,0,1,2,0,1,19.75,0,18,2,4.0
2639-UGMAZ,1,0,0,71,1,3,2,56.45,0,10,0,3.9
2876-GZYZC,0,1,0,13,0,1,1,85.95,0,19,1,3.8
6207-WIOLX,0,1,1,25,1,3,1,58.6,1,10,0,4.3
8587-XYZSF,1,1,0,67,1,4,0,50.55,0,9,1,3.6
3091-FYHKI,1,1,0,1,1,2,1,35.45,1,27,2,2.6
2372-HWUHI,1,1,0,2,1,1,1,44.35,1,10,2,2.9
7799-LGRDP,0,1,0,43,2,0,0,25.7,0,23,3,3.9
7850-VWJUU,0,1,0,23,0,1,1,75.0,0,26,3,4.5
3774-VBNXY,0,1,1,64,2,0,0,20.2,0,29,2,2.1
6217-KDYWC,1,1,0,57,2,0,0,19.6,0,28,2,2.4
0390-DCFDQ,0,0,1,1,0,1,1,70.45,1,14,1,4.7
3146-MSEGF,0,0,1,72,1,5,0,88.05,0,18,2,3.3
4080-OGPJL,0,1,0,8,1,4,1,71.15,1,14,0,1.7
1095-WGNGG,0,1,1,61,0,3,0,101.05,0,21,1,3.7
2636-SJDOU,1,1,0,64,0,2,2,84.3,0,12,2,5.0
1131-QQZEB,1,0,1,71,2,0,0,23.95,0,9,1,4.3
5716-EZXZN,0,1,1,65,0,4,0,99.05,0,14,1,4.0
6837-BJYDQ,1,1,0,3,2,0,2,19.6,0,22,4,1.8
2135-RXIHG,1,1,0,1,1,2,1,45.65,1,7,3,4.5
6440-DKQGE,1,1,0,30,1,2,2,64.5,0,18,1,3.1
3466-BYAVD,1,1,1,15,1,5,1,69.5,0,11,1,4.6
3780-YVMFA,0,1,1,8,1,4,1,68.55,0,9,4,2.3
3874-EQOEP,1,1,0,7,0,1,1,95.0,1,22,2,1.2
1679-JRFBR,0,1,1,70,0,2,2,108.15,0,24,1,2.9
9073-ZZIAY,1,1,1,62,1,4,0,86.1,0,28,4,2.1
3077-RSNTJ,0,1,1,6,2,0,1,19.7,0,16,0,3.9
6551-GNYDG,0,1,1,14,0,3,1,80.9,0,13,4,4.8
9167-APMXZ,0,1,0,22,0,1,1,84.15,0,9,3,3.8
2749-CTKAJ,1,1,1,22,2,0,2,20.15,0,12,3,4.5
6371-NZYEG,1,1,1,16,1,2,0,64.25,0,11,2,2.8
7554-NEWDD,1,1,0,10,2,0,0,25.7,0,6,2,4.1
8992-VONJD,0,1,0,13,1,3,1,56.0,0,18,3,4.4
0867-MKZVY,0,1,1,20,0,1,1,82.4,1,12,3,3.8
4482-EWFMI,0,1,0,2,0,3,1,69.7,0,21,1,3.0
4648-YPBTM,1,1,0,53,1,5,0,73.9,0,26,3,3.5
2907-ILJBN,0,1,1,11,2,0,2,20.6,0,19,2,3.8
6345-FZOQH,1,1,1,69,2,0,0,19.9,0,11,3,2.0
3376-BMGFE,0,1,0,4,0,3,1,70.9,1,15,2,4.2
5997-OPVFA,1,1,1,72,1,4,0,89.05,0,3,0,4.8
3445-HXXGF,1,0,1,58,1,1,1,45.3,1,4,3,2.9
1159-WFSGR,0,1,1,16,2,0,1,20.4,0,15,2,3.8
7654-YWJUF,1,1,1,43,0,5,2,84.25,0,26,4,3.9
1875-QIVME,0,1,1,2,0,4,1,104.4,1,11,1,3.6
6727-IOTLZ,1,1,1,14,1,4,0,81.95,0,9,2,3.2
0691-JVSYA,0,1,1,53,0,1,2,94.85,1,18,3,4.5
5918-VUKWP,0,1,0,32,2,0,2,20.55,0,21,3,2.8
1744-JHKYS,0,1,1,34,2,0,1,24.7,0,9,0,1.2
2656-FMOKZ,0,0,0,15,0,2,1,74.45,1,8,4,4.4
2070-FNEXE,0,0,0,7,0,2,1,76.45,1,20,2,3.7
5947-SGKCL,0,1,1,15,0,3,1,105.35,0,21,4,4.4
3712-PKXZA,1,1,1,61,2,0,2,20.55,0,13,0,1.6
6317-YPKDH,0,1,0,1,1,2,1,29.95,1,14,1,1.1
6582-OIVSP,0,1,0,1,1,3,1,45.3,0,28,4,4.7
9367-WXLCH,1,1,0,8,0,1,1,84.5,1,12,0,1.6
5524-KHNJP,1,1,1,33,1,2,2,74.75,0,15,2,4.2
1918-ZBFQJ,0,1,0,13,0,1,1,79.25,1,14,1,4.3
1024-GUALD,0,1,1,1,1,2,1,24.8,1,23,3,3.8
4827-USJHP,1,1,0,20,1,2,1,51.8,0,12,0,1.5
8167-GJLRN,1,1,0,3,1,4,1,30.4,0,22,3,3.7
0956-SYCWG,0,1,0,13,2,0,2,19.65,0,20,1,4.6
8017-UVSZU,0,1,1,40,1,3,1,56.6,0,6,0,2.7
7100-FQPRV,1,1,1,43,1,4,2,71.9,0,30,0,2.7
2472-OVKUP,1,1,1,6,0,2,1,91.0,1,26,1,2.8
2984-RGEYA,0,1,1,69,2,0,0,19.75,0,7,2,1.3
9680-NIAUV,0,1,1,72,0,3,0,109.7,0,7,0,4.6
2146-EGVDT,1,1,1,59,2,0,0,19.3,0,30,1,4.5
2604-IJPDU,0,1,1,20,0,5,1,96.55,0,14,4,5.0
9178-JHUVJ,1,1,1,24,2,0,0,24.1,0,28,3,3.3
6168-YBYNP,1,1,0,59,0,5,1,111.35,0,5,0,4.0
7255-SSFBC,1,1,1,72,0,4,0,112.25,0,10,4,1.8
3645-DEYGF,1,1,0,1,2,0,1,20.75,0,24,0,3.7
9323-HGFWY,0,1,1,27,0,4,2,101.9,0,4,2,3.6
8544-GOQSH,0,1,0,14,0,5,1,80.05,0,20,1,4.6
3363-DTIVD,1,1,1,71,0,2,0,105.55,0,11,0,4.3
7018-WBJNK,1,1,0,13,0,1,1,78.3,0,15,1,4.8
9142-KZXOP,1,1,0,44,0,1,1,68.85,0,9,0,4.5
7674-YTAFD,0,1,0,33,0,4,2,79.95,0,12,2,4.5
6348-SNFUS,1,1,1,72,1,5,0,55.45,0,11,2,1.3
1285-OKIPP,1,1,0,1,0,3,1,79.9,1,24,4,4.4
7825-ECJRF,0,1,0,19,0,5,1,106.6,1,17,2,3.4
1347-KTTTA,1,1,1,64,0,4,2,102.45,0,7,1,2.5
7841-TZDMQ,1,1,0,2,1,3,1,46.0,1,14,2,1.2
4195-NZGTA,0,1,0,1,1,2,1,25.25,0,3,0,3.7
7157-SMCFK,1,1,0,61,2,0,0,19.75,0,14,2,2.3
4709-LKHYG,0,1,1,29,2,0,2,20.0,0,24,1,2.9
2504-DSHIH,1,0,1,23,0,1,1,86.8,0,8,0,3.7
0699-NDKJM,0,1,1,57,1,1,1,58.75,0,21,4,4.6
9286-BHDQG,1,1,1,72,1,5,0,45.25,0,21,4,4.3
0230-WEQUW,1,1,1,66,1,4,0,56.6,0,18,4,2.8
2040-LDIWQ,1,1,1,65,1,5,0,84.2,0,21,0,2.6
6496-JDSSB,0,1,0,8,0,3,1,80.0,0,5,4,2.0
9408-SSNVZ,0,1,0,4,0,2,1,70.15,1,25,2,2.5
4443-EMBNA,0,1,1,71,2,0,0,24.75,0,12,0,1.4
6469-MRVET,1,1,1,1,2,0,2,20.2,0,29,0,4.9
0742-MOABM,1,1,1,4,1,5,1,50.05,1,20,0,3.3
5961-VUSRV,0,1,0,12,2,0,2,19.35,0,28,3,1.5
6778-JFCMK,1,1,0,24,1,3,2,50.6,0,15,1,2.4
6341-JVQGF,0,1,1,31,1,4,2,81.15,0,28,3,3.2
2232-DMLXU,0,1,1,1,1,3,1,55.2,1,20,3,3.1
4811-JBUVU,1,1,0,30,0,4,1,89.9,0,5,3,1.1
0945-TSONX,0,1,1,47,1,4,0,85.3,0,28,1,4.8
2651-ZCBXV,1,1,0,54,0,5,0,108.0,0,30,3,2.1
3316-UWXUY,1,1,0,50,0,5,1,93.5,0,25,4,1.1
8937-RDTHP,1,1,0,1,0,2,1,84.6,1,5,0,1.3
7083-MIOPC,0,1,0,72,2,0,0,20.25,0,25,0,3.3
1984-GPTEH,0,1,0,29,2,0,1,25.15,0,27,2,1.6
1251-KRREG,1,1,0,2,1,1,1,54.4,1,29,4,1.2
0621-JFHOL,0,1,0,10,1,5,0,29.6,0,28,1,2.5
9903-LYSAB,1,1,1,18,0,2,1,73.15,0,14,0,3.5
0094-OIFMO,0,0,0,11,0,2,1,95.0,1,29,3,1.4
9227-UAQFT,1,1,0,16,2,0,0,19.75,0,22,2,2.3
7301-ABVAD,0,1,0,72,1,5,0,86.6,0,9,2,2.7
6614-FHDBO,1,1,0,72,0,4,0,109.2,0,27,0,1.6
7576-ASEJU,0,1,1,41,1,5,2,74.7,0,26,4,3.0
9058-HRZSV,0,0,1,65,0,3,1,94.4,0,10,2,1.3
4522-AKYLR,0,0,0,13,1,2,1,54.8,0,11,0,1.2
0221-WMXNQ,1,0,0,4,0,1,1,75.35,0,16,4,3.1
0303-UNCIP,1,1,0,41,1,1,2,65.0,0,7,0,2.0
9947-OTFQU,1,0,0,15,0,3,1,74.4,1,23,0,1.4
0322-YINQP,1,1,0,1,1,3,1,48.55,1,21,4,2.7
0959-WHOKV,1,1,0,42,0,3,2,99.0,0,23,4,4.7
4075-JFPGR,0,1,1,51,0,1,2,93.5,0,18,4,3.9
4629-NRXKX,0,1,1,2,0,1,1,70.4,1,26,0,4.3
9514-JDSKI,1,0,1,1,1,3,1,40.2,1,14,2,4.5
3282-ZISZV,1,1,0,32,1,4,2,83.7,0,23,1,4.9
3675-YDUPJ,1,1,0,10,2,0,1,19.85,0,6,1,4.1
4111-BNXIF,0,1,1,67,1,4,0,59.55,0,10,0,3.4
7017-VFHAY,0,1,1,61,0,4,0,115.1,0,9,0,2.5
6655-LHBYW,1,1,0,50,0,5,2,114.35,0,17,2,1.7
4959-JOSRX,0,1,1,2,1,1,1,44.6,1,8,4,3.7
5046-NUHWD,0,0,1,29,1,2,1,45.0,0,7,0,5.0
7273-TEFQD,1,0,0,3,1,3,1,41.15,1,16,3,2.9
3606-TWKGI,1,0,0,13,0,2,1,106.9,1,23,4,3.9
7529-ZDFXI,1,0,1,57,0,2,1,89.85,0,15,0,3.0
7605-BDWDC,0,1,0,31,1,4,0,49.85,0,12,3,2.7
1950-KSVVJ,0,1,1,45,0,4,2,113.3,0,20,2,2.6
0123-CRBRT,0,1,1,61,1,5,0,88.1,0,6,3,3.0
6292-TOSSS,1,1,0,50,2,0,0,24.9,0,10,0,2.5
3197-ARFOY,0,0,0,19,0,5,1,105.0,0,26,1,4.0
6323-AYBRX,1,1,0,59,2,0,0,19.35,1,13,0,4.5
7014-ZZXAW,0,1,1,71,2,0,0,24.25,0,19,1,4.5
4385-GZQXV,0,0,0,16,0,5,1,94.45,1,20,2,1.9
7633-MVPUY,1,1,1,57,1,5,0,59.75,0,23,2,4.6
6366-ZGQGL,1,1,0,1,1,1,1,24.8,1,27,4,2.4
4716-HHKQH,1,0,1,20,0,5,1,107.05,0,28,4,2.2
5940-AHUHD,1,1,0,1,0,1,1,70.6,1,13,1,3.9
6432-TWQLB,1,1,1,5,0,5,1,85.4,1,18,1,2.2
4484-GLZOU,0,1,1,52,0,3,1,105.05,1,14,2,1.2
3179-GBRWV,1,0,1,21,1,2,1,64.95,0,15,3,2.5
8645-KWHJO,1,1,0,14,1,4,1,55.0,0,29,1,3.9
4130-MZLCC,0,1,0,5,1,2,1,50.55,0,18,1,2.3
0314-TKOSI,0,1,0,6,1,3,1,55.15,0,25,3,3.5
8229-MYEJZ,0,1,0,10,1,2,1,51.2,0,28,4,3.6
2080-SRCDE,0,1,0,1,2,0,1,25.4,0,23,4,3.9
9577-WJVCQ,0,1,0,68,1,1,1,54.45,0,3,1,4.6
9512-UIBFX,1,1,1,18,0,2,1,95.15,1,18,4,2.7
6202-DYYFX,0,1,0,22,0,2,2,76.0,0,17,4,1.7
3808-HFKDE,0,1,0,20,1,1,1,44.35,0,8,4,2.3
5583-SXDAG,1,1,1,1,0,3,1,70.0,1,14,2,2.7
3488-PGMQJ,1,0,0,8,0,2,1,74.5,1,10,0,3.9
3580-REOAC,1,1,0,10,1,2,1,44.85,1,9,1,1.1
7534-BFESC,1,0,0,24,0,3,1,76.1,1,4,1,2.3
3727-OWVYD,1,1,0,35,1,1,2,61.2,0,14,2,4.1
2294-SALNE,1,1,1,23,0,4,2,86.8,0,23,0,3.7
4847-TAJYI,0,0,0,6,0,3,1,89.35,0,16,0,3.9
1563-IWQEX,0,1,0,12,2,0,1,19.7,0,18,2,4.2
8203-XJZRC,1,1,0,1,2,0,1,20.25,0,13,3,4.1
6556-DBKZF,0,1,1,71,0,1,0,76.05,0,22,3,3.7
6851-WEFYX,1,0,1,35,0,1,1,100.8,0,11,0,2.8
2985-JUUBZ,1,1,1,40,1,3,1,74.55,0,12,3,4.9
6390-DSAZX,0,1,0,1,0,2,1,73.6,1,19,3,3.3
0895-LMRSF,1,1,0,23,1,3,2,64.9,0,14,3,1.8
8098-LLAZX,0,0,0,4,0,2,1,95.45,1,8,0,2.2
8266-VBFQL,1,1,0,4,0,4,1,90.4,0,21,3,3.8
8181-YHCMF,0,1,1,68,1,5,0,60.3,0,13,1,4.7
2240-HSJQD,1,1,0,38,0,2,1,81.85,0,11,0,1.7
1248-DYXUB,1,1,1,52,2,0,0,24.8,0,23,2,1.3
0265-EDXBD,1,0,1,32,0,2,1,74.9,1,8,3,4.5
4115-BNPJY,1,1,1,29,1,5,0,75.55,0,29,4,4.7
3167-SNQPL,1,0,1,38,0,3,1,101.15,0,27,0,2.1
4091-TVOCN,1,1,0,48,1,3,2,78.75,0,27,2,2.5
1098-TDVUQ,0,1,0,1,2,0,1,19.25,0,26,1,3.6
7277-OZCGZ,0,1,0,22,0,4,1,89.05,0,27,2,2.3
1557-EMYVT,0,1,0,43,0,5,0,115.05,0,18,3,4.5
2799-ARNLO,0,0,1,5,0,3,1,69.35,0,22,4,1.4
7563-BIUPC,1,1,0,5,0,1,1,80.6,1,18,3,1.2
5027-YOCXN,1,1,1,51,0,5,2,110.05,0,8,2,1.8
3973-SKMLN,1,1,0,71,2,0,0,19.9,0,7,0,2.1
2321-OMBXY,0,1,1,38,1,4,2,80.3,1,23,4,1.5
2840-XANRC,1,0,1,24,0,1,1,93.15,1,6,4,1.3
6745-JEFZB,1,1,1,35,0,5,1,91.5,0,4,2,4.0
5020-ZSTTY,0,0,0,54,1,5,2,82.45,1,30,3,1.7
9880-TDQAC,0,1,1,72,1,4,0,60.0,0,8,2,4.7
8705-WZCYL,1,1,0,1,1,3,1,44.8,0,11,4,2.5
7102-JJVTX,0,1,1,9,1,3,2,48.6,0,30,2,3.7
8626-PTQGE,1,1,0,69,1,5,0,60.05,0,19,4,1.9
4983-CLMLV,0,1,1,52,0,5,1,102.7,0,16,3,2.0
5701-YVSVF,0,0,1,11,0,4,1,82.9,0,9,0,3.3
5804-LEPIM,0,0,0,2,0,3,1,70.35,1,24,0,3.2
5697-GOMBF,0,0,1,28,1,1,1,35.9,0,21,2,4.1
2739-CACDQ,0,0,0,17,0,2,1,82.65,0,3,4,4.0
9385-EHGDO,0,1,1,35,2,0,0,19.85,0,22,0,3.7
9498-FIMXL,0,1,0,8,2,0,2,19.2,0,27,4,2.8
2379-GYFLQ,1,1,0,46,0,2,2,94.9,0,17,3,4.6
0122-OAHPZ,0,1,0,7,0,3,1,73.85,1,20,2,3.5
2868-SNELZ,0,1,0,2,0,2,1,80.6,1,5,4,5.0
4322-RCYMT,1,1,1,68,1,5,2,75.8,1,20,2,4.3
6680-NENYN,0,1,0,43,0,1,0,104.6,1,4,4,1.2
2088-IEBAU,0,1,0,68,1,4,0,88.15,0,12,4,2.3
7982-VCELR,0,1,0,36,0,2,1,94.8,0,13,3,3.3
1343-EHPYB,1,1,1,63,0,1,1,103.4,1,29,2,3.9
6035-BXTTY,0,0,0,32,1,4,1,54.65,0,26,1,3.2
6885-PKOAM,0,1,1,71,1,5,0,85.75,0,5,4,4.1
7520-HQWJU,0,1,1,66,1,1,1,67.45,0,9,4,2.1
9639-BUJXT,1,1,0,63,2,0,2,20.5,0,10,0,1.7
5924-SNGKP,0,1,0,41,2,0,2,20.25,0,21,2,1.2
0021-IKXGC,0,0,0,1,0,3,1,72.1,0,20,1,3.3
2034-GDRCN,0,1,0,2,0,2,1,90.4,1,15,3,3.8
8966-SNIZF,0,1,1,70,2,0,0,19.45,0,15,1,2.3
6243-OZGFH,0,1,0,23,1,2,1,44.95,0,26,3,3.5
4654-DLAMQ,0,0,1,64,0,3,2,97.0,0,21,1,1.2
0513-RBGPE,1,1,1,37,1,5,0,62.8,0,25,1,1.4
5160-UXJED,1,1,0,17,1,1,2,44.6,0,14,2,3.8
4115-NZRKS,0,0,0,7,0,1,1,89.15,0,19,0,2.5
0219-YTZUE,1,1,1,4,0,1,1,84.8,1,30,1,3.7
0623-IIHUG,0,0,0,21,1,2,1,41.9,1,24,4,4.3
4572-DVCGN,0,1,0,10,0,1,1,80.25,1,14,4,4.4
3351-NGXYI,0,0,0,16,1,2,1,54.1,0,30,4,1.7
8984-EYLLL,1,1,1,64,0,5,0,105.25,0,15,0,2.9
9057-MSWCO,1,0,1,27,1,3,1,30.75,1,27,1,3.9
9833-TGFHX,1,1,1,42,0,3,2,97.1,0,14,3,4.1
9294-TDIPC,1,1,0,5,2,0,1,20.2,0,21,3,4.1
5229-DTFYB,0,1,0,41,0,4,0,98.8,0,16,2,1.9
0104-PPXDV,1,1,1,58,1,2,2,50.3,0,9,0,1.8
5176-LMJXE,0,1,0,47,2,0,0,20.55,0,15,1,3.4
3583-KRKMD,1,1,0,18,0,4,1,75.9,0,8,4,4.0
1010-DIAUQ,1,1,0,5,0,2,1,96.5,1,26,0,2.3
9069-LGEUL,1,1,1,23,1,3,1,59.95,0,21,0,1.4
7302-ZHMHP,0,1,0,1,2,0,1,19.15,0,21,1,3.9
9571-EDEBV,1,1,1,71,0,2,2,98.65,0,6,2,2.2
3520-FJGCV,1,1,1,72,0,4,0,112.6,0,21,2,1.7
6563-VRERX,1,1,1,33,2,0,2,20.6,0,11,2,1.6
